fips,country,state,county,level,lat,locationId,long,population,metrics.testPositivityRatio,metrics.testPositivityRatioDetails.source,metrics.caseDensity,metrics.contactTracerCapacityRatio,metrics.infectionRate,metrics.infectionRateCI90,unused1,unused2,metrics.icuCapacityRatio,riskLevels.overall,riskLevels.testPositivityRatio,riskLevels.caseDensity,riskLevels.contactTracerCapacityRatio,riskLevels.infectionRate,unused3,riskLevels.icuCapacityRatio,actuals.cases,actuals.deaths,actuals.positiveTests,actuals.negativeTests,actuals.contactTracers,actuals.hospitalBeds.capacity,actuals.hospitalBeds.currentUsageTotal,actuals.hospitalBeds.currentUsageCovid,unused4,actuals.icuBeds.capacity,actuals.icuBeds.currentUsageTotal,actuals.icuBeds.currentUsageCovid,unused5,actuals.newCases,actuals.vaccinesDistributed,actuals.vaccinationsInitiated,actuals.vaccinationsCompleted,lastUpdatedDate,url,metrics.vaccinationsInitiatedRatio,metrics.vaccinationsCompletedRatio,actuals.newDeaths,actuals.vaccinesAdministered,cdcTransmissionLevel,actuals.vaccinationsAdditionalDose,metrics.vaccinationsAdditionalDoseRatio,metrics.weeklyNewCasesPer100k,hsa,hsaPopulation,actuals.hsaHospitalBeds.capacity,actuals.hsaHospitalBeds.currentUsageTotal,actuals.hsaHospitalBeds.currentUsageCovid,actuals.hsaIcuBeds.capacity,actuals.hsaIcuBeds.currentUsageTotal,actuals.hsaIcuBeds.currentUsageCovid,metrics.bedsWithCovidPatientsRatio,hsaName,actuals.hospitalBeds.weeklyCovidAdmissions,actuals.hsaHospitalBeds.weeklyCovidAdmissions,metrics.weeklyCovidAdmissionsPer100k,communityLevels.cdcCommunityLevel,communityLevels.canCommunityLevel,actuals.vaccinationsFall2022BivalentBooster,metrics.vaccinationsFall2022BivalentBoosterRatio
43060,US,,,cbsa,,iso1:us#cbsa:43060,,72592,,other,,,,,,,0.56,4,4,4,4,4,,0,27301,104,,,,79,54,1,,14,7,1,,0,,47176,38261,2024-07-21,,0.65,0.527,0,,4,15477,0.213,,,,2469,1840,35,278,200,3,0.02,,6,13,,,0,8784,0.121
43100,US,,,cbsa,,iso1:us#cbsa:43100,,115340,,other,,,,,,,0.41,4,4,4,4,4,,0,39833,128,,,,166,86,0,,22,9,0,,0,,80045,74635,2024-07-21,,0.694,0.647,0,,4,44484,0.386,,,,276,145,0,36,18,1,0.004,,6,4,,,0,22644,0.196
43140,US,,,cbsa,,iso1:us#cbsa:43140,,97947,,other,,,,,,,0.93,4,4,4,4,4,,3,36984,131,,,,282,219,0,,24,22,1,,0,,52461,49444,2024-07-21,,0.536,0.505,0,,4,26290,0.268,,,,918,665,3,69,48,0,0.003,,5,4,,,0,,
43180,US,,,cbsa,,iso1:us#cbsa:43180,,49713,,other,,,,,,,0.62,4,4,4,4,4,,0,18335,56,,,,51,24,0,,8,5,0,,0,,25818,22284,2024-07-21,,0.519,0.448,0,,4,9171,0.184,,,,51,24,0,8,5,0,0.014,,5,5,,,0,3265,0.066
43220,US,,,cbsa,,iso1:us#cbsa:43220,,66768,,other,,,,,,,0.83,4,4,4,4,4,,2,16066,0,,,,29,24,0,,7,6,0,,0,,47594,42643,2024-07-21,,0.713,0.639,0,,4,23403,0.351,,,,743,614,4,59,42,0,,,8,4,,,,13617,0.204
43260,US,,,cbsa,,iso1:us#cbsa:43260,,30485,,other,,,,,,,0.38,4,4,4,4,4,,0,10105,0,,,,88,39,1,,11,4,1,,0,,19058,16828,2024-07-21,,0.625,0.552,0,,4,8559,0.281,,,,88,39,1,11,4,1,,,7,7,,,,3969,0.13
43300,US,,,cbsa,,iso1:us#cbsa:43300,,136212,,other,,,,,,,0.95,4,4,4,4,4,,3,32279,394,,,,356,305,0,,46,44,1,,0,,73683,63350,2024-07-21,,0.541,0.465,0,,4,25724,0.189,,,,549,388,0,54,47,1,0.002,,5,5,,,0,9316,0.068
43320,US,,,cbsa,,iso1:us#cbsa:43320,,110924,,other,,,,,,,0.68,4,4,4,4,4,,0,49227,643,,,,140,63,0,,12,8,0,,0,,114559,95454,2024-07-21,,0.95,0.861,0,,4,53309,0.481,,,,474,269,1,53,33,0,0.006,,4,4,,,0,30969,0.279
43340,US,,,cbsa,,iso1:us#cbsa:43340,,394706,,other,,,,,,,,4,4,4,4,4,,4,152457,1057,,,,1373,1056,43,,,,,,0,,231873,198871,2024-07-21,,0.587,0.504,0,,4,82912,0.21,,,,4839,3436,19,914,754,3,,,60,18,,,,26613,0.067
43380,US,,,cbsa,,iso1:us#cbsa:43380,,48590,,other,,,,,,,0.49,4,4,4,4,4,,0,13442,11,,,,66,20,0,,7,3,0,,0,,19012,18022,2024-07-21,,0.391,0.371,0,,4,9356,0.193,,,,223,116,0,17,9,1,,,4,4,,,,3692,0.076
